CODE,NAME,TYPE,SEATS,REGION,LAB,CON,LD,REF,GRN,OTH,TOTAL,Control
E06000060,Buckinghamshire,Unitary,All,South East,4,48,27,3,2,13,97,NOC
E10000003,Cambridgeshire,County,All,East of England,5,10,31,10,3,2,61,LD
E06000052,Cornwall,Unitary,All,South West,4,7,26,28,3,19,87,NOC
E10000007,Derbyshire,County,All,East Midlands,3,12,3,42,2,2,64,REF
E10000008,Devon,County,All,South West,0,7,27,18,6,2,60,NOC
E08000017,Doncaster,Met,All,Yorkshire and the Humber,12,6,0,37,0,0,55,REF
E06000047,Durham,Unitary,All,North East,4,1,14,65,2,12,98,REF
E10000013,Gloucestershire,County,All,South West,1,6,27,11,9,1,55,NOC
E10000015,Hertfordshire,County,All,East of England,5,22,31,14,5,1,78,NOC
E10000016,Kent,County,All,South East,2,5,12,57,5,0,81,REF
E10000017,Lancashire,County,All,North West,5,8,5,53,4,9,84,REF
E10000018,Leicestershire,County,All,East Midlands,2,15,11,25,1,1,55,NOC
E10000019,Lincolnshire,County,All,East Midlands,3,14,5,44,0,4,70,REF
E06000061,North Northamptonshire,"Unitary ",All,East Midlands,4,13,1,39,8,1,66,REF
E06000057,Northumberland,"Unitary ",All,North East,8,26,3,23,2,7,69,NOC
E10000024,Nottinghamshire,County,All,East Midlands,4,17,0,40,0,3,64,REF
E10000025,Oxfordshire,County,All,South East,12,10,36,1,7,3,69,LD
E06000051,Shropshire,Unitary,All,"West Midlands ",4,7,42,16,4,1,74,LD
E10000028,Staffordshire,County,All,"West Midlands ",1,10,0,49,1,1,62,REF
E10000031,Warwickshire,County,All,"West Midlands ",3,9,14,23,7,1,57,NOC
E06000062,West Northamptonshire,Unitary,All,East Midlands,9,17,6,42,0,2,76,REF
E06000054,Wiltshire,Unitary,All,South West,1,37,43,10,0,7,98,NOC
E10000034,Worcestershire,County,All,"West Midlands ",2,12,6,27,8,2,57,NOC